Record ID,Step Name,Relative Time(h:min:s.ms),Realtime,Auxiliary channel TU1 T(°C),Gap of Temperature
1,Rest,0:00:00.000,2019-11-15 19:28:43,37.4,0.0
2,Rest,0:00:01.000,2019-11-15 19:28:44,37.4,0.0
3,Rest,0:00:02.000,2019-11-15 19:28:45,37.4,0.0
4,Rest,0:00:03.000,2019-11-15 19:28:46,37.4,0.0
5,Rest,0:00:04.000,2019-11-15 19:28:47,37.3,0.0
6,Rest,0:00:05.000,2019-11-15 19:28:48,37.4,0.0
7,CCCV_DChg,0:00:00.000,2019-11-15 19:28:49,37.4,0.0
8,CCCV_DChg,0:00:00.100,2019-11-15 19:28:49,37.4,0.0
9,CCCV_Chg,0:00:00.000,2019-11-15 19:28:49,37.4,0.0
10,CCCV_Chg,0:00:00.100,2019-11-15 19:28:49,37.4,0.0
11,Rest,0:00:00.000,2019-11-15 19:28:49,37.4,0.0
12,Rest,0:00:01.000,2019-11-15 19:28:50,37.4,0.0
13,Rest,0:00:02.000,2019-11-15 19:28:51,37.4,0.0
14,Rest,0:00:03.000,2019-11-15 19:28:52,37.4,0.0
15,Rest,0:00:04.000,2019-11-15 19:28:53,37.4,0.0
16,Rest,0:00:05.000,2019-11-15 19:28:54,37.4,0.0
17,Rest,0:00:06.000,2019-11-15 19:28:55,37.4,0.0
18,Rest,0:00:07.000,2019-11-15 19:28:56,37.4,0.0
19,Rest,0:00:08.000,2019-11-15 19:28:57,37.4,0.0
20,Rest,0:00:09.000,2019-11-15 19:28:58,37.4,0.0
21,Rest,0:00:10.000,2019-11-15 19:28:59,37.4,0.0
22,Rest,0:00:11.000,2019-11-15 19:29:00,37.4,0.0
23,Rest,0:00:12.000,2019-11-15 19:29:01,37.4,0.0
24,Rest,0:00:13.000,2019-11-15 19:29:02,37.4,0.0
25,Rest,0:00:14.000,2019-11-15 19:29:03,37.4,0.0
26,Rest,0:00:15.000,2019-11-15 19:29:04,37.4,0.0
27,Rest,0:00:16.000,2019-11-15 19:29:05,37.4,0.0
28,Rest,0:00:17.000,2019-11-15 19:29:06,37.4,0.0
29,Rest,0:00:18.000,2019-11-15 19:29:07,37.4,0.0
30,Rest,0:00:19.000,2019-11-15 19:29:08,37.4,0.0
31,Rest,0:00:20.000,2019-11-15 19:29:09,37.4,0.0
32,Rest,0:00:21.000,2019-11-15 19:29:10,37.4,0.0
33,Rest,0:00:22.000,2019-11-15 19:29:11,37.4,0.0
34,Rest,0:00:23.000,2019-11-15 19:29:12,37.4,0.0
35,Rest,0:00:24.000,2019-11-15 19:29:13,37.4,0.0
36,Rest,0:00:25.000,2019-11-15 19:29:14,37.4,0.0
37,Rest,0:00:26.000,2019-11-15 19:29:15,37.4,0.0
38,Rest,0:00:27.000,2019-11-15 19:29:16,37.4,0.0
39,Rest,0:00:28.000,2019-11-15 19:29:17,37.4,0.0
40,Rest,0:00:29.000,2019-11-15 19:29:18,37.4,0.0
41,Rest,0:00:30.000,2019-11-15 19:29:19,37.4,0.0
42,Rest,0:00:31.000,2019-11-15 19:29:20,37.4,0.0
43,Rest,0:00:32.000,2019-11-15 19:29:21,37.4,0.0
44,Rest,0:00:33.000,2019-11-15 19:29:22,37.4,0.0
45,Rest,0:00:34.000,2019-11-15 19:29:23,37.4,0.0
46,Rest,0:00:35.000,2019-11-15 19:29:24,37.4,0.0
47,Rest,0:00:36.000,2019-11-15 19:29:25,37.4,0.0
48,Rest,0:00:37.000,2019-11-15 19:29:26,37.4,0.0
49,Rest,0:00:38.000,2019-11-15 19:29:27,37.4,0.0
50,Rest,0:00:39.000,2019-11-15 19:29:28,37.4,0.0
51,Rest,0:00:40.000,2019-11-15 19:29:29,37.4,0.0
52,Rest,0:00:41.000,2019-11-15 19:29:30,37.3,0.0
53,Rest,0:00:42.000,2019-11-15 19:29:31,37.4,0.0
54,Rest,0:00:43.000,2019-11-15 19:29:32,37.4,0.0
55,Rest,0:00:44.000,2019-11-15 19:29:33,37.4,0.0
56,Rest,0:00:45.000,2019-11-15 19:29:34,37.4,0.0
57,Rest,0:00:46.000,2019-11-15 19:29:35,37.4,0.0
58,Rest,0:00:47.000,2019-11-15 19:29:36,37.4,0.0
59,Rest,0:00:48.000,2019-11-15 19:29:37,37.4,0.0
60,Rest,0:00:49.000,2019-11-15 19:29:38,37.4,0.0
61,Rest,0:00:50.000,2019-11-15 19:29:39,37.4,0.0
62,Rest,0:00:51.000,2019-11-15 19:29:40,37.4,0.0
63,Rest,0:00:52.000,2019-11-15 19:29:41,37.4,0.0
64,Rest,0:00:53.000,2019-11-15 19:29:42,37.4,0.0
65,Rest,0:00:54.000,2019-11-15 19:29:43,37.4,0.0
66,Rest,0:00:55.000,2019-11-15 19:29:44,37.4,0.0
67,Rest,0:00:56.000,2019-11-15 19:29:45,37.4,0.0
68,Rest,0:00:57.000,2019-11-15 19:29:46,37.4,0.0
69,Rest,0:00:58.000,2019-11-15 19:29:47,37.4,0.0
70,Rest,0:00:59.000,2019-11-15 19:29:48,37.4,0.0
71,Rest,0:01:00.000,2019-11-15 19:29:49,37.4,0.0
72,Rest,0:01:01.000,2019-11-15 19:29:50,37.4,0.0
73,Rest,0:01:02.000,2019-11-15 19:29:51,37.4,0.0
74,Rest,0:01:03.000,2019-11-15 19:29:52,37.4,0.0
75,Rest,0:01:04.000,2019-11-15 19:29:53,37.4,0.0
76,Rest,0:01:05.000,2019-11-15 19:29:54,37.4,0.0
77,Rest,0:01:06.000,2019-11-15 19:29:55,37.4,0.0
78,Rest,0:01:07.000,2019-11-15 19:29:56,37.4,0.0
79,Rest,0:01:08.000,2019-11-15 19:29:57,37.4,0.0
80,Rest,0:01:09.000,2019-11-15 19:29:58,37.4,0.0
81,Rest,0:01:10.000,2019-11-15 19:29:59,37.4,0.0
82,Rest,0:01:11.000,2019-11-15 19:30:00,37.4,0.0
83,Rest,0:01:12.000,2019-11-15 19:30:01,37.4,0.0
84,Rest,0:01:13.000,2019-11-15 19:30:02,37.4,0.0
85,Rest,0:01:14.000,2019-11-15 19:30:03,37.4,0.0
86,Rest,0:01:15.000,2019-11-15 19:30:04,37.4,0.0
87,Rest,0:01:16.000,2019-11-15 19:30:05,37.4,0.0
88,Rest,0:01:17.000,2019-11-15 19:30:06,37.4,0.0
89,Rest,0:01:18.000,2019-11-15 19:30:07,37.4,0.0
90,Rest,0:01:19.000,2019-11-15 19:30:08,37.4,0.0
91,Rest,0:01:20.000,2019-11-15 19:30:09,37.4,0.0
92,Rest,0:01:21.000,2019-11-15 19:30:10,37.4,0.0
93,Rest,0:01:22.000,2019-11-15 19:30:11,37.4,0.0
94,Rest,0:01:23.000,2019-11-15 19:30:12,37.4,0.0
95,Rest,0:01:24.000,2019-11-15 19:30:13,37.4,0.0
96,Rest,0:01:25.000,2019-11-15 19:30:14,37.4,0.0
97,Rest,0:01:26.000,2019-11-15 19:30:15,37.4,0.0
98,Rest,0:01:27.000,2019-11-15 19:30:16,37.4,0.0
99,Rest,0:01:28.000,2019-11-15 19:30:17,37.4,0.0
100,Rest,0:01:29.000,2019-11-15 19:30:18,37.4,0.0
101,Rest,0:01:30.000,2019-11-15 19:30:19,37.4,0.0
102,Rest,0:01:31.000,2019-11-15 19:30:20,37.4,0.0
103,Rest,0:01:32.000,2019-11-15 19:30:21,37.4,0.0
104,Rest,0:01:33.000,2019-11-15 19:30:22,37.4,0.0
105,Rest,0:01:34.000,2019-11-15 19:30:23,37.4,0.0
106,Rest,0:01:35.000,2019-11-15 19:30:24,37.4,0.0
107,Rest,0:01:36.000,2019-11-15 19:30:25,37.4,0.0
108,Rest,0:01:37.000,2019-11-15 19:30:26,37.4,0.0
109,Rest,0:01:38.000,2019-11-15 19:30:27,37.4,0.0
110,Rest,0:01:39.000,2019-11-15 19:30:28,37.4,0.0
111,Rest,0:01:40.000,2019-11-15 19:30:29,37.4,0.0
112,Rest,0:01:41.000,2019-11-15 19:30:30,37.4,0.0
113,Rest,0:01:42.000,2019-11-15 19:30:31,37.4,0.0
114,Rest,0:01:43.000,2019-11-15 19:30:32,37.4,0.0
115,Rest,0:01:44.000,2019-11-15 19:30:33,37.4,0.0
116,Rest,0:01:45.000,2019-11-15 19:30:34,37.4,0.0
117,Rest,0:01:46.000,2019-11-15 19:30:35,37.4,0.0
118,Rest,0:01:47.000,2019-11-15 19:30:36,37.4,0.0
119,Rest,0:01:48.000,2019-11-15 19:30:37,37.4,0.0
120,Rest,0:01:49.000,2019-11-15 19:30:38,37.4,0.0
121,Rest,0:01:50.000,2019-11-15 19:30:39,37.4,0.0
122,Rest,0:01:51.000,2019-11-15 19:30:40,37.4,0.0
123,Rest,0:01:52.000,2019-11-15 19:30:41,37.4,0.0
124,Rest,0:01:53.000,2019-11-15 19:30:42,37.4,0.0
125,Rest,0:01:54.000,2019-11-15 19:30:43,37.4,0.0
126,Rest,0:01:55.000,2019-11-15 19:30:44,37.4,0.0
127,Rest,0:01:56.000,2019-11-15 19:30:45,37.4,0.0
128,Rest,0:01:57.000,2019-11-15 19:30:46,37.4,0.0
129,Rest,0:01:58.000,2019-11-15 19:30:47,37.4,0.0
130,Rest,0:01:59.000,2019-11-15 19:30:48,37.4,0.0
131,Rest,0:02:00.000,2019-11-15 19:30:49,37.4,0.0
132,Rest,0:02:01.000,2019-11-15 19:30:50,37.4,0.0
133,Rest,0:02:02.000,2019-11-15 19:30:51,37.4,0.0
134,Rest,0:02:03.000,2019-11-15 19:30:52,37.4,0.0
135,Rest,0:02:04.000,2019-11-15 19:30:53,37.4,0.0
136,Rest,0:02:05.000,2019-11-15 19:30:54,37.4,0.0
137,Rest,0:02:06.000,2019-11-15 19:30:55,37.4,0.0
138,Rest,0:02:07.000,2019-11-15 19:30:56,37.4,0.0
139,Rest,0:02:08.000,2019-11-15 19:30:57,37.4,0.0
140,Rest,0:02:09.000,2019-11-15 19:30:58,37.4,0.0
141,Rest,0:02:10.000,2019-11-15 19:30:59,37.4,0.0
142,Rest,0:02:11.000,2019-11-15 19:31:00,37.4,0.0
143,Rest,0:02:12.000,2019-11-15 19:31:01,37.4,0.0
144,Rest,0:02:13.000,2019-11-15 19:31:02,37.4,0.0
145,Rest,0:02:14.000,2019-11-15 19:31:03,37.4,0.0
146,Rest,0:02:15.000,2019-11-15 19:31:04,37.4,0.0
147,Rest,0:02:16.000,2019-11-15 19:31:05,37.4,0.0
148,Rest,0:02:17.000,2019-11-15 19:31:06,37.4,0.0
149,Rest,0:02:18.000,2019-11-15 19:31:07,37.4,0.0
150,Rest,0:02:19.000,2019-11-15 19:31:08,37.4,0.0
151,Rest,0:02:20.000,2019-11-15 19:31:09,37.4,0.0
152,Rest,0:02:21.000,2019-11-15 19:31:10,37.4,0.0
153,Rest,0:02:22.000,2019-11-15 19:31:11,37.4,0.0
154,Rest,0:02:23.000,2019-11-15 19:31:12,37.4,0.0
155,Rest,0:02:24.000,2019-11-15 19:31:13,37.4,0.0
156,Rest,0:02:25.000,2019-11-15 19:31:14,37.4,0.0
157,Rest,0:02:26.000,2019-11-15 19:31:15,37.4,0.0
158,Rest,0:02:27.000,2019-11-15 19:31:16,37.4,0.0
159,Rest,0:02:28.000,2019-11-15 19:31:17,37.4,0.0
160,Rest,0:02:29.000,2019-11-15 19:31:18,37.4,0.0
161,Rest,0:02:30.000,2019-11-15 19:31:19,37.4,0.0
