Record Index,Status,JumpTo,Cycle,Step,Cur(mA),Voltage(V),CapaCity(mAh),Energy(mWh),Relative Time(h:min:s.ms),Absolute Time
1,Rest,1,1,1,0.00,3.5897,0.00,0.00,0:00:00.000,11/15/2019 19:38:18
2,Rest,1,1,1,0.00,3.5897,0.00,0.00,0:00:01.000,11/15/2019 19:38:19
3,Rest,1,1,1,0.00,3.5897,0.00,0.00,0:00:02.000,11/15/2019 19:38:20
4,Rest,1,1,1,0.00,3.5897,0.00,0.00,0:00:03.000,11/15/2019 19:38:21
5,Rest,1,1,1,0.00,3.5897,0.00,0.00,0:00:04.000,11/15/2019 19:38:22
6,Rest,1,1,1,0.00,3.5897,0.00,0.00,0:00:05.000,11/15/2019 19:38:23
7,CCCV_DChg,2,1,2,-900.200,3.5621,0.000,0.000,0:00:00.000,11/15/2019 19:38:23
8,CCCV_DChg,2,1,2,-900.200,3.5621,0.025,0.089,0:00:00.100,11/15/2019 19:38:23
9,CCCV_Chg,3,2,3,0.000,3.5897,0.000,0.000,0:00:00.000,11/15/2019 19:38:23
10,CCCV_Chg,3,2,3,0.000,3.5897,0.000,0.000,0:00:00.100,11/15/2019 19:38:23
11,Rest,4,2,4,0.00,3.5897,0.00,0.00,0:00:00.000,11/15/2019 19:38:23
12,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:01.000,11/15/2019 19:38:24
13,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:02.000,11/15/2019 19:38:25
14,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:03.000,11/15/2019 19:38:26
15,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:04.000,11/15/2019 19:38:27
16,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:05.000,11/15/2019 19:38:28
17,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:06.000,11/15/2019 19:38:29
18,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:07.000,11/15/2019 19:38:30
19,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:08.000,11/15/2019 19:38:31
20,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:09.000,11/15/2019 19:38:32
21,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:10.000,11/15/2019 19:38:33
22,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:11.000,11/15/2019 19:38:34
23,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:12.000,11/15/2019 19:38:35
24,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:13.000,11/15/2019 19:38:36
25,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:14.000,11/15/2019 19:38:37
26,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:15.000,11/15/2019 19:38:38
27,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:16.000,11/15/2019 19:38:39
28,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:17.000,11/15/2019 19:38:40
29,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:18.000,11/15/2019 19:38:41
30,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:19.000,11/15/2019 19:38:42
31,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:20.000,11/15/2019 19:38:43
32,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:21.000,11/15/2019 19:38:44
33,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:22.000,11/15/2019 19:38:45
34,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:23.000,11/15/2019 19:38:46
35,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:24.000,11/15/2019 19:38:47
36,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:25.000,11/15/2019 19:38:48
37,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:26.000,11/15/2019 19:38:49
38,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:27.000,11/15/2019 19:38:50
39,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:28.000,11/15/2019 19:38:51
40,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:29.000,11/15/2019 19:38:52
41,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:30.000,11/15/2019 19:38:53
42,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:31.000,11/15/2019 19:38:54
43,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:32.000,11/15/2019 19:38:55
44,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:33.000,11/15/2019 19:38:56
45,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:34.000,11/15/2019 19:38:57
